id,titulo,orgao,localizacao,vagas,salario,salario_numerico,escolaridade,inscricoes,status,link,fonte,data_coleta
,"Técnico em Eletrotécnica: o que faz, quanto ganha e requisitos",,,0,,0.0,,,,https://concursosnobrasil.com/cargos/tecnico-em-eletrotecnica-o-que-faz-quanto-ganha-e-requisitos/,Concursos Brasil,2025-10-16T15:58:02.966154
,"Corretor de Imóveis: o que faz, formação exigida e salário médio",,,0,,0.0,,,,https://concursosnobrasil.com/cargos/corretor-de-imoveis/,Concursos Brasil,2025-10-16T15:58:02.967437
,"Engenheiro de Computação: o que faz, quanto ganha e formação",,,0,,0.0,,,,https://concursosnobrasil.com/cargos/engenheiro-de-computacao-o-que-faz-quanto-ganha-e-formacao/,Concursos Brasil,2025-10-16T15:58:02.967437
,Obstetra: quanto ganha e o que faz o profissional da área,,,0,,0.0,,,,https://concursosnobrasil.com/cargos/obstetra-quanto-ganha-e-o-que-faz-o-profissional-da-area/,Concursos Brasil,2025-10-16T15:58:18.659007
,Pet Sitter: o que é essa profissão e qual a média salarial?,,,0,,0.0,,,,https://concursosnobrasil.com/cargos/pet-sitter-o-que-e-essa-profissao-e-qual-a-media-salarial/,Concursos Brasil,2025-10-16T15:58:18.659007
,"Assistente Social: o que faz, descrição do cargo e salário médio",,,0,,0.0,,,,https://concursosnobrasil.com/cargos/assistente-social-o-que-faz-descricao-do-cargo-e-salario-medio/,Concursos Brasil,2025-10-16T15:58:18.661104
,"Almoxarife: nível escolar exigido, salário médio e atribuições",,,0,,0.0,,,,https://concursosnobrasil.com/cargos/almoxarife-nivel-escolar-exigido-salario-medio-e-atribuicoes/,Concursos Brasil,2025-10-16T15:58:33.117068
,"Auxiliar de Logística: o que faz, quanto ganha e requisitos mínimos",,,0,,0.0,,,,https://concursosnobrasil.com/cargos/auxiliar-de-logistica-o-que-faz-quanto-ganha-e-requisitos-minimos/,Concursos Brasil,2025-10-16T15:58:33.117068
,"Administrador: o que faz, salário médio nas empresas e requisitos",,,0,,0.0,,,,https://concursosnobrasil.com/cargos/administrador-o-que-faz-salario-medio-nas-empresas-e-requisitos/,Concursos Brasil,2025-10-16T15:58:33.117068
,"Designer de Interiores: o que faz, qual a formação e remuneração",,,0,,0.0,,,,https://concursosnobrasil.com/cargos/designer-de-interiores-qual-a-formacao-e-quanto-ganha/,Concursos Brasil,2025-10-16T15:58:46.402617
,"Consultor de Vendas: o que faz, quanto ganha e descrição do cargo",,,0,,0.0,,,,https://concursosnobrasil.com/cargos/consultor-de-vendas-o-que-faz-quanto-ganha-e-descricao-do-cargo/,Concursos Brasil,2025-10-16T15:58:46.402617
,"Escriturário: quanto ganha, o que faz, nível escolar e outros critérios",,,0,,0.0,,,,https://concursosnobrasil.com/cargos/escriturario-quanto-ganha-o-que-faz-nivel-escolar-e-outros-criterios/,Concursos Brasil,2025-10-16T15:59:01.922515
,"Técnico em Radiologia: formação necessária, o que faz e quanto ganha",,,0,,0.0,,,,https://concursosnobrasil.com/cargos/tecnico-em-radiologia/,Concursos Brasil,2025-10-16T15:59:01.922515
,"Programador: o que faz, formação necessária e média salarial",,,0,,0.0,,,,https://concursosnobrasil.com/cargos/programador/,Concursos Brasil,2025-10-16T15:59:01.922515
