titulo,orgao,vagas,salario,salario_numerico,escolaridade,status,cidade,estado,data_coleta,fonte,link
Amazul - Amazônia Azul Tecnologias de Defesa S.A.,,59,"R$ 9739,10",9739.1,Superior,,,,2025-10-16T15:46:34.860088,PCI Concurso,https://www.pciconcursos.com.br/noticias/amazul-divulga-edital-de-concurso-publico-com-59-vagas
Marinha do Brasil - Comando do 1º Distrito Naval,,24,,0.0,Superior,,,,2025-10-16T15:46:34.872198,PCI Concurso,https://www.pciconcursos.com.br/noticias/marinha-do-brasil-informa-abertura-de-processo-seletivo-com-diversas-vagas
ARSESP - Agência Reguladora de Serviços Públicos de São Paulo,,105,"R$ 12.070,00",12070.0,Superior,,,,2025-10-16T15:46:34.872198,PCI Concurso,https://www.pciconcursos.com.br/noticias/arsesp-retifica-concurso-publico-com-salarios-de-ate-12-mil
CGE - Controladoria Geral do Estado,,200,"R$ 17.850,00",17850.0,Superior,,,,2025-10-16T15:46:34.872198,PCI Concurso,https://www.pciconcursos.com.br/noticias/cge-sp-divulga-retificacao-de-concurso-publico
Fundação do ABC - Itatiba,,46,"R$ 15.648,49",15648.49,Superior,,,,2025-10-16T15:46:34.872198,PCI Concurso,https://www.pciconcursos.com.br/noticias/fundacao-do-abc-de-itatiba-sp-abre-46-vagas-em-novo-processo-seletivo
PM - Polícia Militar do Estado de São Paulo,,200,"R$ 5055,53",5055.53,Ensino Médio,,,,2025-10-16T15:46:34.872198,PCI Concurso,https://www.pciconcursos.com.br/noticias/pm-sp-abre-2200-vagas-em-novo-concurso-publico
Prefeitura de Birigui,,33,"R$ 9277,02",9277.02,Superior,,,,2025-10-16T15:46:34.872198,PCI Concurso,https://www.pciconcursos.com.br/noticias/prefeitura-de-birigui-sp-retifica-concurso-publico-com-salarios-de-ate-9-2-mil
Prefeitura de Cajamar,,0,"R$ 10.924,23",10924.23,Superior,,,,2025-10-16T15:46:34.873947,PCI Concurso,https://www.pciconcursos.com.br/noticias/prefeitura-de-cajamar-sp-retifica-um-dos-editais-de-concursos-publicos
Prefeitura de Guarulhos,,1,"R$ 2581,06",2581.06,Ensino Médio,,,,2025-10-16T15:46:34.873947,PCI Concurso,https://www.pciconcursos.com.br/noticias/prefeitura-de-guarulhos-sp-abre-concurso-publico-para-assistente-de-gestao-publica
Prefeitura de Osasco,,199,"R$ 6427,89",6427.89,Superior,,,,2025-10-16T15:46:34.873947,PCI Concurso,https://www.pciconcursos.com.br/noticias/prefeitura-de-osasco-sp-abre-inscricoes-para-dois-editais-de-concurso-publico
Prefeitura de Paulínia,,26,"R$ 6882,47",6882.47,Médio,,,,2025-10-16T15:46:34.873947,PCI Concurso,https://www.pciconcursos.com.br/noticias/prefeitura-de-paulinia-sp-lanca-edital-de-concurso-publico-com-26-vagas
Câmara de Alumínio,,2,"R$ 5031,30",5031.3,Superior,,,,2025-10-16T15:46:34.873947,PCI Concurso,https://www.pciconcursos.com.br/noticias/camara-de-aluminio-sp-promove-concurso-publico-com-salarios-de-ate-5-mil
Câmara de Brotas,,4,"R$ 9800,00",9800.0,Superior,,,,2025-10-16T15:46:34.873947,PCI Concurso,https://www.pciconcursos.com.br/noticias/camara-de-brotas-sp-anuncia-um-concurso-publico-com-quatro-vagas
Câmara de Franca,,1,"R$ 5944,47",5944.47,Superior,,,,2025-10-16T15:46:34.873947,PCI Concurso,https://www.pciconcursos.com.br/noticias/camara-de-franca-sp-promove-concurso-publico-para-analista-de-controle-interno
Câmara de Itirapuã,,1,"R$ 2683,43",2683.43,Ensino Médio,,,,2025-10-16T15:46:34.873947,PCI Concurso,https://www.pciconcursos.com.br/noticias/camara-de-itirapua-sp-publica-concurso-publico-para-escriturario-legislativo
Câmara de Mirassol,,9,"R$ 9637,74",9637.74,Superior,,,,2025-10-16T15:46:34.873947,PCI Concurso,https://www.pciconcursos.com.br/noticias/camara-de-mirassol-sp-publica-edital-de-concurso-publico
Câmara de Mogi das Cruzes,,18,"R$ 10.069,96",10069.96,Superior,,,,2025-10-16T15:46:34.873947,PCI Concurso,https://www.pciconcursos.com.br/noticias/concurso-publico-com-salarios-de-ate-10-mil-e-divulgado-pela-camara-de-mogi-das-cruzes-sp
Câmara de Nova Odessa,,2,"R$ 11.789,19",11789.19,Superior,,,,2025-10-16T15:46:34.873947,PCI Concurso,https://www.pciconcursos.com.br/noticias/camara-de-nova-odessa-sp-lanca-concurso-publico-com-duas-vagas-e-formacao-de-cadastro-de-reserva
Câmara de Pederneiras,,3,"R$ 3405,40",3405.4,Superior,,,,2025-10-16T15:46:34.873947,PCI Concurso,https://www.pciconcursos.com.br/noticias/camara-de-pederneiras-sp-abre-inscricoes-de-edital-de-concurso-publico
Câmara de São João da Boa Vista,,0,"R$ 7392,69",7392.69,Superior,,,,2025-10-16T15:46:34.873947,PCI Concurso,https://www.pciconcursos.com.br/noticias/camara-de-sao-joao-da-boa-vista-sp-abre-edital-de-concurso-publico-para-formar-cadastro-reserva
Câmara de São Lourenço da Serra,,2,"R$ 3005,59",3005.59,Fundamental,,,,2025-10-16T15:46:34.873947,PCI Concurso,https://www.pciconcursos.com.br/noticias/camara-de-sao-lourenco-da-serra-sp-divulga-duas-vagas-em-novo-processo-seletivo-retificado
CBM - Corpo de Bombeiros da Polícia Militar do Estado de São Paulo,,600,"R$ 1850,00",1850.0,Fundamental,,,,2025-10-16T15:46:34.873947,PCI Concurso,https://www.pciconcursos.com.br/noticias/cbm-sp-publica-edital-de-processo-seletivo-com-600-vagas
